FIPS,Geography,counts,UPB
27171,"WRIGHT County ,MN",762,135392626.96
42131,"WYOMING County ,PA",146,19000466.47
53077,"YAKIMA County ,WA",1844,261186576.01
37199,"YANCEY County ,NC",19,2180941.66
28163,"YAZOO County ,MS",43,4193281.74
30111,"YELLOWSTONE County ,MT",817,141940198.54
06113,"YOLO County ,CA",1322,334112728.77
23031,"YORK County ,ME",824,144987661.44
31185,"YORK County ,NE",6,406596.43
48503,"YOUNG County ,TX",20,2235390.86
08125,"YUMA County ,CO",15,1717605.81
21001,"ADAIR County ,KY",138,14778261.60
29001,"ADAIR County ,MO",48,5224492.08
39001,"ADAMS County ,OH",26,3056999.13
42001,"ADAMS County ,PA",1086,179958586.58
27001,"AITKIN County ,MN",97,12760183.62
26001,"ALCONA County ,MI",8,524098.17
40003,"ALFALFA County ,OK",4,338684.50
19005,"ALLAMAKEE County ,IA",23,2816662.96
26005,"ALLEGAN County ,MI",115,14290669.64
06003,"ALPINE County ,CA",23,5117965.63
51007,"AMELIA County ,VA",203,35057465.79
02020,"ANCHORAGE County ,AK",268,62640080.47
08001,"ARAPAHOE County ,CO",700,101540622.30
26011,"ARENAC County ,MI",16,1356501.66
05001,"ARKANSAS County ,AR",307,24886458.28
22005,"ASCENSION County ,LA",1309,233919259.05
39011,"AUGLAIZE County ,OH",114,12072963.07
12003,"BAKER County ,FL",45,6548515.93
13009,"BALDWIN County ,GA",122,14608688.72
45009,"BAMBERG County ,SC",15,1634773.08
38003,"BARNES County ,ND",13,2105867.66
29009,"BARRY County ,MO",119,10367767.10
05005,"BAXTER County ,AR",267,25509791.88
27005,"BECKER County ,MN",86,13647234.69
42009,"BEDFORD County ,PA",137,16032546.43
27007,"BELTRAMI County ,MN",220,27471904.30
34003,"BERGEN County ,NJ",1871,600752933.51
54003,"BERKELEY County ,WV",1160,185091392.44
01007,"BIBB County ,AL",42,4306700.40
22013,"BIENVILLE County ,LA",38,4252475.24
48031,"BLANCO County ,TX",33,9014937.80
47009,"BLOUNT County ,TN",738,111148097.64
16015,"BOISE County ,ID",40,7583520.20
16017,"BONNER County ,ID",119,22093822.03
16019,"BONNEVILLE County ,ID",1791,247794307.35
19015,"BOONE County ,IA",84,8563683.30
18011,"BOONE County ,IN",290,46023843.25
42015,"BRADFORD County ,PA",204,23979653.56
05011,"BRADLEY County ,AR",58,5554916.23
54007,"BRAXTON County ,WV",7,655204.08
19017,"BREMER County ,IA",55,7348565.37
48043,"BREWSTER County ,TX",13,2282585.53
44001,"BRISTOL County ,RI",53,11837845.26
36005,"BRONX County ,NY",1044,387038526.85
13027,"BROOKS County ,GA",13,1464070.90
51029,"BUCKINGHAM County ,VA",58,7588195.59
19021,"BUENA VISTA County ,IA",96,8886161.34
31019,"BUFFALO County ,NE",50,7110092.28
01011,"BULLOCK County ,AL",12,1214104.86
17011,"BUREAU County ,IL",74,6133362.33
38013,"BURKE County ,ND",1,104903.66
42019,"BUTLER County ,PA",889,189305998.07
06007,"BUTTE County ,CA",2978,548628955.23
